Datetime,Temp_C,Pressure_hpa,Humidity_pc,time_m
2021-12-16 18:02:04.572312,23.28,989.03,36.38,1082.07
2021-12-16 18:22:04.242986,23.44,989.67,36.16,1102.07
2021-12-16 18:42:04.631537,23.37,990.40,35.60,1122.07
2021-12-16 19:02:04.898402,23.19,991.04,35.43,1142.07
2021-12-16 19:22:04.634995,23.10,991.63,35.37,1162.07
2021-12-16 19:42:04.051320,23.00,991.88,35.58,1182.07
2021-12-16 20:02:04.646323,22.93,992.41,35.49,1202.07
2021-12-16 20:22:05.293656,22.86,992.53,35.29,1222.08
2021-12-16 20:42:05.173812,22.84,992.88,35.16,1242.08
2021-12-16 21:02:04.492127,22.74,993.32,35.23,1262.07
2021-12-16 21:22:04.859553,22.65,993.62,34.94,1282.07
2021-12-16 21:42:04.251613,22.48,994.08,34.87,1302.07
2021-12-16 22:02:04.477855,22.43,994.47,34.99,1322.07
2021-12-16 22:22:04.220708,22.72,994.64,33.95,1342.07
2021-12-16 22:42:04.591745,22.41,994.71,34.52,1362.07
2021-12-16 23:02:04.825675,22.21,995.02,34.84,1382.07
2021-12-16 23:22:04.518202,22.12,995.41,35.15,1402.07
2021-12-16 23:42:03.861205,21.93,995.74,35.17,1422.05
2021-12-17 00:02:04.145584,21.97,995.93,34.95,2.07
2021-12-17 00:22:04.820615,21.96,996.01,34.81,22.07
2021-12-17 00:42:04.209061,21.75,996.20,35.43,42.07
2021-12-17 01:02:04.391172,21.65,996.66,36.28,62.07
2021-12-17 01:22:04.066220,21.53,996.96,37.35,82.07
2021-12-17 01:42:04.435584,21.50,997.36,37.22,102.07
2021-12-17 02:02:04.633471,21.31,997.90,36.87,122.07
2021-12-17 02:22:04.290656,21.21,998.16,36.97,142.07
2021-12-17 02:42:04.661631,21.06,998.60,37.05,162.07
2021-12-17 03:02:03.854826,21.02,998.89,36.89,182.05
2021-12-17 03:22:04.545786,20.92,999.03,36.69,202.07
2021-12-17 03:42:03.931791,20.74,999.10,36.73,222.05
2021-12-17 04:02:04.141479,20.67,999.15,36.53,242.07
2021-12-17 04:22:04.796243,20.52,999.27,36.19,262.07
2021-12-17 04:42:04.193324,20.35,999.65,36.16,282.07
2021-12-17 05:02:04.431260,20.22,999.74,35.97,302.07
2021-12-17 05:22:04.105723,20.40,999.78,34.87,322.07
2021-12-17 05:42:04.510696,21.91,999.96,31.03,342.07
2021-12-17 06:02:04.761211,23.85,1000.51,27.80,362.07
2021-12-17 06:22:04.464173,22.53,1000.79,30.98,382.07
2021-12-17 06:42:04.732019,24.19,1000.89,27.38,402.07
2021-12-17 07:02:04.001608,22.92,1000.99,30.46,422.07
2021-12-17 07:22:04.687419,22.28,1001.09,31.62,442.07
2021-12-17 07:42:03.997401,22.70,1001.28,30.27,462.05
2021-12-17 08:02:04.162770,22.70,1001.26,30.24,482.07
2021-12-17 08:22:04.873502,22.11,1001.37,31.28,502.07
2021-12-17 08:42:04.215048,23.25,1001.66,28.85,522.07
2021-12-17 09:02:04.441883,22.32,1001.86,31.06,542.07
2021-12-17 09:22:04.103708,22.05,1002.11,31.38,562.07
2021-12-17 09:42:04.470600,22.54,1002.36,30.65,582.07
2021-12-17 10:02:04.727687,22.26,1002.79,31.36,602.07
2021-12-17 10:22:04.422367,22.23,1002.81,31.27,622.07
